사다,91,154
가바,72,155
마바,81,161
사다,60,165
사사,66,193
나가,90,175
마나,70,156
바바,70,191
마바,48,182
다마,75,164
사라,68,147
라라,68,191
다라,42,140
바사,98,197
바바,42,142
다가,61,182
가가,72,170
다다,81,143
라마,74,158
사마,62,154
사나,99,154
바마,60,154
바나,52,144
나가,54,177
사가,51,178
사마,74,194
라나,77,184
나다,60,188
다가,56,157
나라,62,179
라가,75,189
나마,60,196
가나,88,173
가라,84,178
나나,81,189
마마,58,193
나가,88,191
다다,69,151
바가,64,197
라사,92,151
라바,59,163
다다,63,192
가바,97,149
마다,66,180
가다,46,178
바가,96,145
가다,97,183
나사,52,155
마가,55,198
다사,51,172
라사,57,149
나다,68,161
바다,40,147
라가,60,185
나나,78,145
다라,95,163
사사,60,143
바나,70,160
나마,66,179
다나,82,140
가바,70,147
나바,92,194
나마,81,170
라다,91,146
다사,41,163
나다,41,199
다사,57,181
가마,49,140
사라,90,189
나바,57,198
다가,97,192
다라,55,188
사다,48,166
라가,76,173
라사,97,142
다다,44,160
사라,67,143
다라,91,163
라사,78,169
가나,82,177
사가,67,169
가라,49,183
가사,51,171
마가,46,191
라다,49,171
라나,94,155
마바,46,145
나다,93,186
가나,55,163
가라,55,162
라다,82,181
나가,98,163
라바,97,174
다바,84,157
가라,69,164
라나,66,192
나가,47,141
사바,54,192
사사,40,178
가나,50,143
마마,73,192
바나,53,188
라가,59,198
다나,79,174
바사,88,153
가바,77,146
나바,96,197
바라,59,156
가마,97,142
바사,50,191
마사,42,158
사라,61,168
사가,96,165
라다,45,195
바가,42,190
가사,77,153
다사,64,142
다라,51,180
마라,78,175
마다,45,170
마바,60,189
사나,90,159
라사,85,171
마나,82,194
나다,58,191
가가,83,145
나나,94,188
바마,69,166
다바,65,183
나라,74,183
다가,49,197
바가,58,168
다사,64,152
가라,93,175
마라,91,171
가다,77,164
라사,98,142
가바,68,180
다사,67,188
사사,83,195
라나,57,150
가바,60,172
가사,98,197
다나,91,159
사가,56,190
바라,64,166
마라,68,183
나사,69,172
가가,79,149
마마,68,186
바마,43,163
사라,66,161
사다,95,150
가가,67,145
다가,74,166
라다,66,186
가바,79,182
나다,57,153
라바,76,193
마나,87,169
라나,92,167
바사,79,183
마나,48,165
라라,51,175
다나,66,154
다다,95,191
사마,72,142
라라,82,179
다다,79,191
사라,84,183
나가,50,193
바라,81,192
마사,75,177
사사,60,189
마라,65,172
다마,52,176
라마,43,151
나나,43,176
마나,68,168
마사,73,186
나다,69,168
라가,45,177
나다,52,162
바바,65,140
바라,44,181
사바,51,160
바나,95,157
마마,41,156
바사,44,160
가사,81,160
다마,88,148
라나,57,178
나다,95,159
바다,99,188
마바,43,184
바다,46,187
사사,63,177
마라,86,185
나사,59,185
나다,55,148
사다,70,182
가다,69,160
바바,48,192
사바,52,176
사사,89,154
가다,94,143
가바,60,190
라라,56,160
바사,89,163
라다,83,148
사사,74,144
라나,72,189
나가,99,170
사바,49,159
라다,54,147
다가,80,197
사다,53,143
가다,42,156
라바,82,198
다다,50,179
마다,92,177
마라,75,192
다바,77,168
가라,88,167
가다,51,168
사다,67,180
바나,89,178
나다,57,173
사다,97,187
가라,72,172
바라,67,165
라가,46,181
마가,62,188
다나,43,186
가가,59,142
사다,49,188
다바,57,194
바라,47,153
마바,83,189
라바,51,169
가사,64,149
다사,92,142
바다,68,172
가가,87,159
바나,69,170
바가,41,187
라사,60,142
사사,86,149
나가,66,161
나나,97,162
사사,44,145
바라,43,166
바나,68,178
사사,70,181
가다,73,160
다사,51,186
사바,50,182
가바,69,167
나바,78,199
마마,58,188
나바,75,196
사라,54,187
나다,70,192
가사,88,193
나나,83,191
바마,78,183
다다,82,146
가바,77,147
가가,54,185
마사,45,158
마마,86,173
바라,85,150
